dataTitle	Ammianus_Marcellinus	Braille	BIND	Condom	Association_football	Economy_of_Croatia	Committee_on_Data_for_Science_and_Technology	Isolationism	Clock	Balkans	Afghan_Hound	Digamma	Geography_of_Bosnia_and_Herzegovina	Casa_Mil_	Euler_s_formula	Caesium	Hertz	Dave_Barry	Habitus__sociology_	Empress_Gensh_
                 Fourth-generation programming language	0.0325	0.1174	0.0436	0.0988	0.0715	0.0040	-0.0203	0.0399	0.1673	0.0544	0.0251	0.0535	0.0069	-0.0060	0.0133	0.1054	0.0359	0.0004	0.0396	-0.0004
                                             Hot or Not	0.0400	0.1160	0.0664	0.1237	0.1035	0.0271	-0.0041	0.0537	0.1616	0.0823	0.0777	0.0500	0.0131	0.0017	0.0073	0.1203	0.0617	0.0444	0.0654	0.0174
                                 Free software movement	0.0473	0.1405	0.0893	0.1434	0.1197	0.0265	0.0025	0.0496	0.1857	0.0968	0.0803	0.0575	0.0102	0.0019	0.0165	0.1378	0.0736	0.0499	0.0616	0.0151
                                       History of Spain	0.0667	0.0884	0.0332	0.1054	0.0926	0.0258	-0.0135	0.0586	0.1615	0.0872	0.0630	0.0582	0.0255	0.0014	0.0156	0.1013	0.0363	0.0203	0.0523	0.0288
                                      Coronation Street	0.0459	0.0969	0.0464	0.1094	0.1088	0.0225	-0.0099	0.0464	0.1462	0.0782	0.0682	0.0478	0.0101	-0.0032	0.0055	0.1003	0.0466	0.0431	0.0471	0.0181
                                             Volkssturm	0.0534	0.0723	0.0253	0.0770	0.0612	0.0093	-0.0219	0.0392	0.1282	0.0550	0.0377	0.0407	0.0119	-0.0077	0.0064	0.0707	0.0275	0.0191	0.0439	0.0222
   Wikipedia:Free On-line Dictionary of Computing/E - H	-0.0018	0.0422	-0.0018	0.0272	0.0052	-0.0254	-0.0343	-0.0084	0.0846	-0.0026	-0.0201	-0.0012	-0.0280	-0.0315	-0.0176	0.0426	0.0034	-0.0279	-0.0050	-0.0322
                                      Claude Auchinleck	0.0653	0.0909	0.0522	0.1181	0.1061	0.0347	-0.0019	0.0471	0.1666	0.0908	0.0658	0.0520	0.0067	-0.0011	0.0077	0.1077	0.0408	0.0398	0.0439	0.0225
                                    Transport in Cyprus	0.0263	0.0716	0.0197	0.0772	0.0556	0.0220	-0.0173	0.0243	0.1221	0.0446	0.0324	0.0405	0.0197	-0.0059	0.0044	0.0750	0.0326	-0.0003	0.0286	0.0007
                                        Dante Alighieri	0.0555	0.0785	0.0302	0.0978	0.0707	0.0128	-0.0138	0.0361	0.1338	0.0699	0.0538	0.0498	0.0098	-0.0025	0.0079	0.0893	0.0378	0.0263	0.0470	0.0123
                                 George, Duke of Saxony	0.0350	0.0628	0.0091	0.0629	0.0424	0.0018	-0.0228	0.0249	0.1029	0.0464	0.0254	0.0260	0.0108	-0.0100	-0.0070	0.0611	0.0220	0.0048	0.0221	0.0090
                          List of country calling codes	0.0142	0.0902	0.0218	0.0517	0.0443	0.0317	-0.0196	0.0189	0.1024	0.0749	0.0386	0.0289	0.0142	-0.0090	0.0056	0.0609	0.0265	0.0066	0.0121	0.0023
                                               August 4	0.0141	0.0458	-0.0083	0.0264	0.0407	-0.0158	-0.0298	0.0167	0.1013	0.0293	0.0083	-0.0077	0.0003	-0.0266	-0.0178	0.0356	-0.0112	0.0055	0.0074	-0.0139
                                               August 3	0.0173	0.0497	-0.0068	0.0319	0.0505	-0.0120	-0.0290	0.0193	0.1070	0.0334	0.0122	-0.0086	0.0006	-0.0237	-0.0166	0.0387	-0.0099	0.0098	0.0087	-0.0140
                                     Vought F4U Corsair	0.0486	0.0870	0.0312	0.0895	0.0728	0.0145	-0.0149	0.0404	0.1481	0.0581	0.0559	0.0471	0.0136	-0.0009	0.0108	0.0969	0.0314	0.0159	0.0393	0.0221
                            International Space Station	0.0458	0.1311	0.0665	0.1444	0.1317	0.0460	0.0069	0.0510	0.1862	0.1133	0.0946	0.0578	0.0144	0.0060	0.0130	0.1642	0.0810	0.0523	0.0591	0.0210
                                               Internet	0.0495	0.1313	0.0699	0.1483	0.1216	0.0316	-0.0039	0.0575	0.1817	0.0995	0.0778	0.0573	0.0178	0.0018	0.0164	0.1480	0.0694	0.0368	0.0638	0.0165
                                Central processing unit	0.0382	0.1428	0.0541	0.1343	0.1025	0.0200	-0.0112	0.0425	0.2126	0.0713	0.0613	0.0654	0.0114	0.0021	0.0220	0.1418	0.0904	0.0227	0.0577	0.0064
                                    Harmonic oscillator	0.0153	0.0850	0.0106	0.0618	0.0499	-0.0012	-0.0207	0.0151	0.1757	0.0325	0.0203	0.0391	0.0054	-0.0109	0.0658	0.0958	0.0609	-0.0063	0.0300	-0.0076
       List of historical period drama films and series	0.0566	0.0589	0.0119	0.0615	0.0650	0.0093	-0.0106	0.0333	0.1350	0.0702	0.0499	0.0331	0.0179	-0.0097	0.0068	0.0659	0.0199	0.0438	0.0377	0.0252
                                              Christmas	0.0784	0.1072	0.0516	0.1356	0.1102	0.0343	-0.0002	0.0598	0.1926	0.1039	0.0773	0.0753	0.0155	0.0039	0.0138	0.1260	0.0527	0.0438	0.0600	0.0314
                                            Eric Hoffer	0.0600	0.1023	0.0431	0.1222	0.0943	0.0243	-0.0125	0.0541	0.1640	0.0801	0.0610	0.0450	0.0090	-0.0012	0.0092	0.1080	0.0413	0.0419	0.0569	0.0236
                                       Army of Darkness	0.0637	0.1140	0.0614	0.1279	0.1069	0.0406	-0.0022	0.0518	0.1690	0.0884	0.0829	0.0543	0.0088	0.0067	0.0062	0.1204	0.0630	0.0656	0.0607	0.0285
                                      Charles C. Krulak	0.0479	0.0889	0.0303	0.0917	0.0669	0.0247	-0.0137	0.0357	0.1426	0.0607	0.0424	0.0333	0.0065	-0.0058	0.0063	0.0995	0.0346	0.0323	0.0286	0.0077
                                 Edwin Howard Armstrong	0.0554	0.1001	0.0407	0.1231	0.0880	0.0156	-0.0122	0.0481	0.1832	0.0770	0.0616	0.0515	0.0071	0.0020	0.0099	0.1251	0.0478	0.0296	0.0552	0.0160
                      Economy of Bosnia and Herzegovina	0.0393	0.0979	0.0401	0.1088	0.0858	0.0626	-0.0111	0.0483	0.1469	0.1212	0.0619	0.0471	0.0618	0.0010	0.0127	0.1157	0.0488	0.0299	0.0452	0.0081
                     Intercontinental ballistic missile	0.0453	0.1094	0.0505	0.1285	0.1051	0.0315	-0.0076	0.0538	0.1829	0.0894	0.0763	0.0498	0.0177	0.0028	0.0148	0.1452	0.0671	0.0340	0.0464	0.0128
                           Central pontine myelinolysis	0.0414	0.0962	0.0408	0.1594	0.0826	0.0505	0.0187	0.0230	0.1586	0.0696	0.0926	0.0594	0.0039	-0.0065	0.0034	0.1441	0.0452	0.0276	0.0542	0.0098
                                                  Galen	0.0766	0.0980	0.0411	0.1128	0.0880	0.0189	-0.0053	0.0450	0.1672	0.0740	0.0597	0.0617	0.0113	0.0063	0.0125	0.1156	0.0395	0.0218	0.0631	0.0311
                                           Digital data	0.0339	0.1531	0.0301	0.1021	0.0822	0.0028	-0.0254	0.0449	0.2025	0.0509	0.0413	0.0720	0.0083	-0.0091	0.0174	0.1288	0.0675	0.0032	0.0554	0.0013
                                         Dot-com bubble	0.0512	0.1220	0.0693	0.1526	0.1190	0.0425	-0.0029	0.0560	0.1830	0.1011	0.0905	0.0561	0.0141	0.0033	0.0112	0.1470	0.0767	0.0578	0.0683	0.0248
                                 Advance Australia Fair	0.0411	0.1356	0.0555	0.1264	0.1411	0.0373	-0.0001	0.0533	0.1630	0.0947	0.0974	0.0515	0.0173	0.0018	0.0032	0.1208	0.0676	0.0560	0.0517	0.0201
                                            Double bass	0.0330	0.0939	0.0212	0.0910	0.0748	0.0059	-0.0218	0.0281	0.1473	0.0477	0.0539	0.0486	0.0164	-0.0062	0.0076	0.0981	0.0393	0.0126	0.0402	0.0026
                                         Hercule Poirot	0.0477	0.0807	0.0253	0.1006	0.0793	0.0048	-0.0181	0.0337	0.1484	0.0616	0.0530	0.0441	0.0009	-0.0074	0.0015	0.0873	0.0320	0.0296	0.0454	0.0165
                                         Cheirogaleidae	0.0273	0.0676	0.0268	0.0933	0.0574	0.0190	0.0032	0.0092	0.1241	0.0551	0.0498	0.0355	-0.0013	-0.0180	-0.0040	0.0947	0.0276	0.0132	0.0353	0.0082
