dataTitle	Ammianus_Marcellinus	Braille	BIND	Condom	Association_football	Economy_of_Croatia	Committee_on_Data_for_Science_and_Technology	Isolationism	Clock	Balkans	Afghan_Hound	Digamma	Geography_of_Bosnia_and_Herzegovina	Casa_Mil_	Euler_s_formula	Caesium	Hertz	Dave_Barry	Habitus__sociology_	Empress_Gensh_
                                                 Condom	0.0604	0.1299	0.0685	0.3102	0.1264	0.0439	0.0123	0.0502	0.1979	0.1028	0.1012	0.0686	0.0084	0.0025	0.0149	0.1676	0.0688	0.0501	0.0699	0.0237
                                   Association football	0.0574	0.1467	0.0686	0.1680	0.3405	0.0453	0.0060	0.0628	0.2041	0.1210	0.1144	0.0667	0.0192	0.0094	0.0178	0.1611	0.0847	0.0700	0.0645	0.0259
           Committee on Data for Science and Technology	0.0466	0.1197	0.0688	0.1591	0.1135	0.0435	0.2323	0.0394	0.2067	0.0927	0.0859	0.0736	0.0055	0.0028	0.0290	0.1873	0.0699	0.0356	0.0653	0.0182
                                                  Clock	0.0519	0.1146	0.0440	0.1244	0.0994	0.0244	-0.0079	0.0454	0.3925	0.0769	0.0670	0.0674	0.0171	0.0008	0.0196	0.1531	0.0667	0.0231	0.0581	0.0172
                                                Balkans	0.0621	0.1049	0.0563	0.1213	0.1155	0.0604	0.0017	0.0614	0.1785	0.2720	0.0787	0.0655	0.0453	0.0033	0.0143	0.1273	0.0578	0.0445	0.0554	0.0235
                                           Afghan Hound	0.0521	0.1166	0.0456	0.1279	0.1107	0.0300	-0.0006	0.0417	0.1703	0.0875	0.2802	0.0637	0.0238	0.0040	0.0111	0.1260	0.0598	0.0435	0.0541	0.0199
                    Geography of Bosnia and Herzegovina	0.0399	0.0801	0.0202	0.0707	0.0693	0.0366	-0.0228	0.0379	0.1412	0.1407	0.0551	0.0499	0.2936	-0.0034	0.0132	0.0922	0.0375	0.0112	0.0391	0.0043
                                                Digamma	0.0755	0.1373	0.0356	0.1039	0.0853	0.0283	-0.0087	0.0399	0.1824	0.0777	0.0634	0.3238	0.0188	-0.0009	0.0288	0.1132	0.0478	0.0179	0.0636	0.0133
                                              Casa Milà	0.0459	0.0921	0.0333	0.0914	0.0713	0.0154	-0.0191	0.0372	0.1525	0.0607	0.0551	0.0553	0.0234	0.0963	0.0171	0.1000	0.0342	0.0097	0.0456	0.0132
                                        Euler's formula	0.0214	0.0964	0.0187	0.0705	0.0596	0.0089	-0.0129	0.0203	0.1414	0.0469	0.0299	0.0489	0.0008	-0.0078	0.2956	0.0953	0.0530	0.0000	0.0328	-0.0004
                                                Caesium	0.0455	0.1101	0.0525	0.1397	0.0997	0.0411	0.0070	0.0387	0.1981	0.0910	0.0824	0.0663	0.0150	-0.0002	0.0200	0.3592	0.0784	0.0321	0.0608	0.0206
                                             Dave Barry	0.0558	0.1025	0.0512	0.1068	0.0911	0.0200	-0.0034	0.0500	0.1489	0.0854	0.0717	0.0447	0.0130	0.0085	0.0027	0.1044	0.0491	0.2191	0.0589	0.0351
                                                  Hertz	0.0399	0.1266	0.0403	0.1185	0.0985	0.0182	-0.0066	0.0438	0.2103	0.0755	0.0608	0.0565	0.0220	0.0013	0.0285	0.1710	0.3391	0.0210	0.0543	0.0158
                                    Habitus (sociology)	0.0623	0.0949	0.0338	0.1078	0.0946	0.0196	-0.0143	0.0544	0.1604	0.0740	0.0579	0.0594	0.0218	0.0012	0.0124	0.1130	0.0498	0.0263	0.3004	0.0240
                                         Empress Genshō	0.0618	0.0839	0.0298	0.0834	0.0782	0.0131	-0.0093	0.0489	0.1314	0.0619	0.0483	0.0465	0.0119	0.0042	0.0142	0.0863	0.0335	0.0272	0.0492	0.2800
                                   Ammianus Marcellinus	0.3132	0.0813	0.0282	0.0899	0.0706	0.0122	-0.0125	0.0447	0.1550	0.0670	0.0501	0.0717	0.0141	-0.0010	0.0076	0.0859	0.0346	0.0206	0.0599	0.0266
                                                Braille	0.0468	0.3399	0.0324	0.1046	0.0831	0.0162	-0.0165	0.0368	0.1671	0.0585	0.0579	0.0724	0.0174	-0.0022	0.0146	0.1085	0.0457	0.0155	0.0459	0.0082
                                                   BIND	0.0518	0.1343	0.3628	0.1354	0.1146	0.0355	0.0075	0.0504	0.1850	0.0915	0.0764	0.0545	0.0143	0.0117	0.0118	0.1391	0.0756	0.0549	0.0606	0.0211
                                     Economy of Croatia	0.0460	0.1024	0.0428	0.1097	0.0893	0.1704	-0.0035	0.0483	0.1565	0.1155	0.0633	0.0525	0.0320	0.0060	0.0153	0.1149	0.0415	0.0318	0.0437	0.0173
                                 Bulgarian Armed Forces	0.0457	0.0836	0.0323	0.0847	0.0758	0.0216	-0.0187	0.0444	0.1297	0.0966	0.0456	0.0382	0.0206	0.0001	0.0093	0.0932	0.0286	0.0170	0.0376	0.0091
                                           Isolationism	0.0583	0.0953	0.0310	0.1036	0.0804	0.0148	-0.0184	0.2065	0.1633	0.0833	0.0461	0.0392	0.0177	-0.0049	0.0049	0.0932	0.0310	0.0229	0.0591	0.0198
                               The Alan Parsons Project	0.0394	0.0903	0.0468	0.0915	0.0812	0.0149	-0.0145	0.0373	0.1544	0.0581	0.0657	0.0442	0.0125	0.0048	0.0017	0.0902	0.0480	0.0414	0.0528	0.0175
                       Ethiopian National Defense Force	0.0540	0.0989	0.0504	0.1032	0.0926	0.0330	-0.0057	0.0493	0.1422	0.0930	0.0618	0.0445	0.0123	0.0018	0.0063	0.1030	0.0452	0.0332	0.0450	0.0174
                                               Hinduism	0.0688	0.0852	0.0485	0.1146	0.0870	0.0220	-0.0049	0.0547	0.1795	0.0917	0.0592	0.0549	0.0123	-0.0058	0.0106	0.1156	0.0369	0.0297	0.0645	0.0261
                           Demographics of Burkina Faso	0.0333	0.0868	0.0162	0.0873	0.0529	0.0258	-0.0088	0.0292	0.1165	0.0914	0.0420	0.0309	0.0213	-0.0027	0.0065	0.0774	0.0212	0.0145	0.0311	0.0118
                                             California	0.0658	0.1123	0.0747	0.1446	0.1126	0.0494	0.0034	0.0725	0.1727	0.1174	0.0882	0.0507	0.0211	0.0005	0.0093	0.1408	0.0598	0.0547	0.0512	0.0167
                                              A.S. Roma	0.0507	0.1024	0.0492	0.1147	0.1249	0.0360	0.0006	0.0426	0.1492	0.0980	0.0867	0.0522	0.0135	0.0027	0.0070	0.1137	0.0526	0.0412	0.0447	0.0192
                                          Puzzle Bobble	0.0335	0.1082	0.0341	0.0859	0.0876	0.0050	-0.0181	0.0282	0.1426	0.0485	0.0555	0.0518	0.0173	-0.0078	0.0096	0.0998	0.0472	0.0139	0.0500	0.0063
                                 Harold Eugene Edgerton	0.0535	0.0959	0.0440	0.1126	0.0852	0.0206	-0.0061	0.0513	0.1821	0.0706	0.0624	0.0448	0.0168	0.0011	0.0065	0.1199	0.0538	0.0457	0.0544	0.0189
                                           Chymotrypsin	0.0176	0.0636	0.0256	0.0787	0.0489	0.0146	-0.0198	0.0163	0.1134	0.0365	0.0371	0.0374	0.0026	-0.0107	0.0111	0.1044	0.0277	-0.0006	0.0343	-0.0034
                   Recreational use of dextromethorphan	0.0411	0.1061	0.0503	0.1667	0.1036	0.0414	0.0187	0.0406	0.1701	0.0847	0.0858	0.0617	0.0073	-0.0052	0.0107	0.1599	0.0578	0.0332	0.0668	0.0134
                                Eastern Orthodox Church	0.0589	0.0982	0.0363	0.1183	0.0892	0.0194	-0.0119	0.0447	0.1664	0.1091	0.0585	0.0598	0.0166	0.0001	0.0118	0.1117	0.0454	0.0208	0.0463	0.0134
                               Graphical user interface	0.0441	0.1329	0.0628	0.1126	0.0917	0.0161	-0.0104	0.0414	0.1922	0.0694	0.0612	0.0602	0.0185	0.0042	0.0201	0.1304	0.0688	0.0281	0.0580	0.0131
                                     Carousel (musical)	0.0498	0.0817	0.0229	0.0812	0.0639	0.0081	-0.0153	0.0348	0.1271	0.0495	0.0480	0.0410	0.0049	-0.0040	-0.0008	0.0786	0.0238	0.0241	0.0437	0.0287
                                  Anointing of the Sick	0.0500	0.0949	0.0321	0.1078	0.0803	0.0131	-0.0112	0.0428	0.1457	0.0659	0.0453	0.0552	0.0169	0.0013	0.0106	0.1004	0.0374	0.0124	0.0453	0.0179
                                                 Capsid	0.0414	0.0867	0.0294	0.1020	0.0661	0.0305	0.0040	0.0284	0.1495	0.0556	0.0602	0.0622	0.0128	0.0076	0.0192	0.1260	0.0437	0.0131	0.0556	0.0149
                                          Gough Whitlam	0.0523	0.0941	0.0352	0.1078	0.0932	0.0214	-0.0114	0.0405	0.1477	0.0722	0.0615	0.0424	0.0155	0.0003	0.0070	0.1027	0.0383	0.0254	0.0441	0.0186
                                   Analysis of variance	0.0416	0.1068	0.0315	0.1233	0.0746	0.0138	-0.0166	0.0325	0.1786	0.0585	0.0392	0.0502	0.0063	-0.0084	0.0289	0.1255	0.0423	0.0060	0.0567	0.0041
                                               Aardvark	0.0525	0.0923	0.0407	0.1161	0.0849	0.0226	-0.0052	0.0309	0.1577	0.0655	0.0770	0.0566	0.0105	0.0003	0.0046	0.1262	0.0408	0.0172	0.0428	0.0159
                               British Steel (historic)	0.0571	0.0965	0.0478	0.1099	0.1164	0.0208	-0.0138	0.0626	0.1753	0.0838	0.0624	0.0462	0.0234	0.0031	0.0090	0.1130	0.0416	0.0376	0.0528	0.0215
                                               Gemstone	0.0302	0.0934	0.0250	0.0985	0.0698	0.0056	-0.0187	0.0318	0.1571	0.0543	0.0517	0.0515	0.0135	-0.0078	0.0119	0.1156	0.0394	0.0070	0.0438	0.0022
                                                      G	0.0467	0.1280	0.0278	0.0733	0.0580	0.0037	-0.0196	0.0284	0.1487	0.0431	0.0381	0.1037	0.0122	-0.0069	0.0145	0.0888	0.0286	-0.0006	0.0394	0.0020
                                                      H	0.0521	0.1377	0.0341	0.0847	0.0756	0.0084	-0.0192	0.0380	0.1539	0.0569	0.0450	0.1041	0.0111	-0.0053	0.0145	0.0914	0.0380	0.0111	0.0326	0.0026
                                                 Euclid	0.0853	0.1134	0.0513	0.1200	0.0962	0.0216	-0.0074	0.0509	0.1947	0.0787	0.0671	0.0906	0.0168	0.0059	0.0230	0.1300	0.0582	0.0395	0.0714	0.0269
                            Demographics of Ivory Coast	0.0321	0.0872	0.0223	0.0902	0.0572	0.0245	-0.0161	0.0300	0.1181	0.0882	0.0343	0.0342	0.0167	-0.0102	0.0013	0.0754	0.0238	0.0110	0.0324	0.0012
                                  Computer multitasking	0.0320	0.1146	0.0539	0.1088	0.0892	0.0097	-0.0243	0.0352	0.1816	0.0546	0.0419	0.0419	0.0084	-0.0009	0.0163	0.1205	0.0783	0.0117	0.0468	-0.0011
                                        Gavrilo Princip	0.0487	0.0872	0.0433	0.1196	0.1050	0.0281	-0.0072	0.0470	0.1613	0.1145	0.0700	0.0504	0.0227	0.0038	0.0101	0.1240	0.0429	0.0429	0.0524	0.0294
                                           Gerard David	0.0729	0.0885	0.0458	0.1032	0.0823	0.0221	-0.0109	0.0408	0.1572	0.0665	0.0719	0.0479	0.0190	0.0045	0.0061	0.1067	0.0390	0.0399	0.0455	0.0278
                                        Abner Doubleday	0.0566	0.0766	0.0295	0.1009	0.0842	0.0109	-0.0183	0.0478	0.1581	0.0657	0.0555	0.0431	0.0102	-0.0048	0.0080	0.1099	0.0275	0.0291	0.0339	0.0160
                                         Brownie McGhee	0.0487	0.0943	0.0405	0.0948	0.0907	0.0140	-0.0162	0.0437	0.1465	0.0672	0.0629	0.0333	0.0085	-0.0003	-0.0050	0.0972	0.0487	0.0497	0.0495	0.0312
                                        Eden Phillpotts	0.0396	0.0646	0.0219	0.0780	0.0653	-0.0053	-0.0209	0.0208	0.1493	0.0719	0.0395	0.0179	-0.0040	0.0006	-0.0085	0.0730	0.0194	0.0403	0.0309	0.0312
                                                  Birka	0.0581	0.0771	0.0197	0.0821	0.0690	0.0025	-0.0244	0.0352	0.1389	0.0522	0.0431	0.0543	0.0222	-0.0013	0.0141	0.0716	0.0277	0.0073	0.0380	0.0107
                                        Frédéric Chopin	0.0716	0.0891	0.0342	0.0980	0.0801	0.0212	-0.0124	0.0491	0.1504	0.0645	0.0566	0.0568	0.0140	-0.0007	0.0106	0.0990	0.0401	0.0272	0.0614	0.0361
                                             February 1	0.0128	0.0481	-0.0078	0.0329	0.0422	-0.0109	-0.0272	0.0221	0.1051	0.0329	0.0102	-0.0062	0.0049	-0.0228	-0.0143	0.0426	-0.0061	0.0105	0.0101	-0.0121
                                 Afonso III of Portugal	0.0232	0.0555	0.0103	0.0428	0.0351	-0.0049	-0.0218	0.0134	0.1087	0.0410	0.0207	0.0146	0.0027	-0.0089	-0.0080	0.0496	0.0119	0.0007	0.0188	0.0113
                                      Greenwich Village	0.0563	0.0971	0.0538	0.1209	0.1050	0.0318	-0.0031	0.0515	0.1698	0.0912	0.0785	0.0600	0.0171	0.0081	0.0067	0.1190	0.0535	0.0563	0.0551	0.0256
                                      Guy de Maupassant	0.0391	0.0634	0.0168	0.0618	0.0464	0.0023	-0.0175	0.0251	0.1144	0.0362	0.0349	0.0281	0.0055	-0.0104	-0.0068	0.0556	0.0185	0.0161	0.0310	0.0091
                                  Politics of Hong Kong	0.0485	0.1114	0.0433	0.1132	0.1026	0.0280	-0.0098	0.0607	0.1609	0.0782	0.0573	0.0433	0.0188	0.0027	0.0129	0.1077	0.0452	0.0253	0.0550	0.0148
                                               Ecliptic	0.0435	0.0957	0.0348	0.0914	0.0803	0.0236	-0.0081	0.0358	0.1949	0.0707	0.0453	0.0519	0.0183	0.0001	0.0357	0.1348	0.0468	0.0165	0.0484	0.0187
                                       Computer monitor	0.0311	0.1309	0.0390	0.1123	0.0852	0.0085	-0.0211	0.0351	0.1944	0.0490	0.0601	0.0484	0.0190	-0.0032	0.0121	0.1172	0.0544	0.0106	0.0417	0.0015
                                              Evolution	0.0612	0.1049	0.0561	0.1834	0.1222	0.0544	0.0272	0.0526	0.2149	0.1033	0.0995	0.0808	0.0067	-0.0076	0.0247	0.1897	0.0655	0.0398	0.0887	0.0124
                                            Handloading	0.0234	0.0988	0.0190	0.1022	0.0661	-0.0028	-0.0230	0.0208	0.1420	0.0373	0.0411	0.0408	0.0024	-0.0108	0.0039	0.0933	0.0333	-0.0028	0.0368	-0.0038
                                             February 9	0.0129	0.0519	-0.0063	0.0345	0.0428	-0.0140	-0.0298	0.0263	0.1103	0.0344	0.0101	-0.0072	0.0031	-0.0251	-0.0162	0.0439	-0.0103	0.0087	0.0087	-0.0125
                                       Gilbert N. Lewis	0.0560	0.0971	0.0333	0.1088	0.0737	0.0126	-0.0099	0.0473	0.1680	0.0619	0.0591	0.0486	0.0117	-0.0022	0.0173	0.1452	0.0455	0.0194	0.0558	0.0205
                                                Hashish	0.0502	0.0954	0.0347	0.1159	0.0825	0.0241	-0.0116	0.0439	0.1582	0.0681	0.0658	0.0572	0.0194	0.0016	0.0065	0.1195	0.0484	0.0238	0.0558	0.0176
                    Algorithms for calculating variance	0.0187	0.0802	0.0135	0.0663	0.0486	-0.0019	-0.0207	0.0096	0.1257	0.0310	0.0214	0.0344	-0.0024	-0.0136	0.0525	0.0803	0.0364	-0.0051	0.0279	-0.0122
                                        Freestyle music	0.0294	0.0832	0.0294	0.0874	0.0676	0.0107	-0.0226	0.0407	0.1380	0.0522	0.0464	0.0367	0.0119	-0.0054	0.0015	0.0849	0.0373	0.0212	0.0383	0.0047
                                     Economy of Alberta	0.0434	0.1044	0.0482	0.1260	0.0933	0.0453	-0.0077	0.0480	0.1676	0.0890	0.0634	0.0406	0.0256	0.0001	0.0071	0.1308	0.0469	0.0285	0.0447	0.0135
                                           Andrew Wiles	0.0671	0.1356	0.0736	0.1547	0.1373	0.0457	0.0111	0.0643	0.1898	0.1136	0.0971	0.0584	0.0116	0.0119	0.0144	0.1576	0.0776	0.0808	0.0716	0.0417
                                                   FASA	0.0361	0.0916	0.0565	0.1078	0.0930	0.0148	-0.0175	0.0393	0.1557	0.0734	0.0738	0.0419	0.0111	-0.0056	0.0053	0.1013	0.0447	0.0487	0.0480	0.0121
                                               Hastings	0.0589	0.1040	0.0453	0.1113	0.1049	0.0298	-0.0074	0.0469	0.1750	0.0865	0.0799	0.0597	0.0334	0.0085	0.0161	0.1121	0.0512	0.0356	0.0504	0.0180
                                       Grammatical case	0.0390	0.1136	0.0152	0.0844	0.0740	0.0083	-0.0216	0.0330	0.1562	0.0677	0.0476	0.0734	0.0108	-0.0035	0.0107	0.0897	0.0384	0.0145	0.0510	0.0087
                                       French Polynesia	0.0432	0.1078	0.0484	0.1230	0.1005	0.0324	-0.0033	0.0478	0.1600	0.1035	0.0699	0.0489	0.0182	0.0027	0.0106	0.1164	0.0485	0.0343	0.0466	0.0146
                                         Emperor Ninmyō	0.0652	0.0786	0.0385	0.0768	0.0747	0.0190	-0.0082	0.0464	0.1356	0.0664	0.0467	0.0442	0.0096	0.0047	0.0107	0.0944	0.0351	0.0306	0.0403	0.1567
                                                Haryana	0.0486	0.1114	0.0667	0.1379	0.1185	0.0488	0.0077	0.0514	0.1761	0.1198	0.0873	0.0549	0.0231	0.0098	0.0107	0.1421	0.0680	0.0538	0.0545	0.0220
                                      Adelaide of Italy	0.0636	0.0734	0.0318	0.0857	0.0676	0.0145	-0.0115	0.0408	0.1432	0.0777	0.0465	0.0425	0.0130	-0.0021	0.0024	0.0806	0.0307	0.0275	0.0444	0.0376
                                      Aberdeen Bestiary	0.0220	0.0400	0.0068	0.0313	0.0220	-0.0035	-0.0195	0.0003	0.0919	0.0191	0.0138	0.0121	0.0034	-0.0148	-0.0059	0.0378	0.0075	0.0037	0.0119	0.0057
                                                  Dance	0.0532	0.0971	0.0318	0.1063	0.0828	0.0189	-0.0146	0.0446	0.1673	0.0704	0.0590	0.0641	0.0179	-0.0045	0.0129	0.1047	0.0411	0.0135	0.0565	0.0170
                            Telecommunications in Gabon	0.0623	0.1275	0.0594	0.1218	0.1157	0.0487	0.0079	0.0611	0.1691	0.1179	0.0720	0.0534	0.0253	0.0176	0.0178	0.1362	0.0623	0.0385	0.0550	0.0374
                                                 Dorado	0.0397	0.0808	0.0352	0.0780	0.0680	0.0119	-0.0120	0.0350	0.1508	0.0598	0.0562	0.0456	0.0215	0.0032	0.0125	0.1083	0.0490	0.0193	0.0398	0.0151
                                          Google Search	0.0451	0.1332	0.0634	0.1571	0.1279	0.0391	-0.0011	0.0484	0.1950	0.1014	0.0912	0.0550	0.0135	0.0060	0.0084	0.1556	0.0760	0.0549	0.0636	0.0268
                               Common Gateway Interface	0.0230	0.1038	0.0356	0.0823	0.0656	-0.0006	-0.0216	0.0194	0.1400	0.0406	0.0307	0.0384	0.0097	-0.0046	0.0122	0.0822	0.0369	0.0004	0.0341	-0.0014
                                       General aviation	0.0510	0.1191	0.0599	0.1639	0.1352	0.0586	0.0027	0.0630	0.1864	0.1067	0.0813	0.0515	0.0222	0.0005	0.0228	0.1650	0.0793	0.0539	0.0660	0.0268
               Chapter 11, Title 11, United States Code	0.0437	0.1064	0.0492	0.1362	0.1054	0.0289	-0.0064	0.0501	0.1533	0.0811	0.0666	0.0520	0.0080	-0.0020	0.0126	0.1208	0.0550	0.0340	0.0507	0.0094
                                               Hawkwind	0.0489	0.1005	0.0434	0.1014	0.0998	0.0219	-0.0101	0.0461	0.1535	0.0737	0.0741	0.0480	0.0168	-0.0024	0.0052	0.1033	0.0533	0.0526	0.0584	0.0263
                                            Common Lisp	0.0320	0.1030	0.0346	0.0844	0.0659	-0.0060	-0.0225	0.0269	0.1449	0.0422	0.0338	0.0522	0.0054	-0.0061	0.0124	0.0891	0.0417	0.0076	0.0425	-0.0012
                                            Holy orders	0.0382	0.0885	0.0176	0.1014	0.0675	0.0049	-0.0226	0.0316	0.1457	0.0683	0.0370	0.0418	0.0126	-0.0089	0.0077	0.0887	0.0320	0.0066	0.0391	0.0079
                                 Transport in Gibraltar	0.0410	0.0871	0.0319	0.0849	0.0760	0.0214	-0.0221	0.0415	0.1568	0.0656	0.0511	0.0481	0.0278	0.0047	0.0149	0.0892	0.0341	0.0150	0.0391	0.0048
                                         ISO/IEC 8859-1	0.0290	0.1222	0.0367	0.0717	0.0615	0.0036	-0.0154	0.0298	0.1306	0.0561	0.0464	0.0508	0.0042	-0.0063	0.0061	0.0870	0.0370	0.0084	0.0248	-0.0018
                                                Animism	0.0555	0.0953	0.0370	0.1311	0.0909	0.0161	-0.0051	0.0475	0.1743	0.0800	0.0657	0.0621	0.0163	-0.0074	0.0147	0.1298	0.0464	0.0292	0.0930	0.0154
                                        Giosuè Carducci	0.0556	0.0819	0.0289	0.0959	0.0702	0.0169	-0.0101	0.0288	0.1266	0.0646	0.0526	0.0520	0.0022	-0.0090	0.0035	0.0894	0.0371	0.0313	0.0533	0.0188
                                     Honorius (emperor)	0.0840	0.0712	0.0224	0.0750	0.0649	0.0157	-0.0174	0.0359	0.1264	0.0683	0.0480	0.0473	0.0133	-0.0060	0.0090	0.0723	0.0212	0.0092	0.0345	0.0304
                                        Austrian School	0.0664	0.1144	0.0557	0.1451	0.1193	0.0502	0.0060	0.0600	0.1939	0.1104	0.0815	0.0611	0.0099	0.0031	0.0154	0.1428	0.0585	0.0440	0.0732	0.0223
                                                  Aorta	0.0376	0.0840	0.0354	0.1041	0.0743	0.0196	-0.0068	0.0329	0.1598	0.0670	0.0579	0.0618	0.0174	-0.0034	0.0212	0.1143	0.0426	0.0066	0.0494	0.0106
                                                  Clade	0.0491	0.1175	0.0505	0.1244	0.0980	0.0292	0.0000	0.0420	0.1834	0.0761	0.0797	0.0766	0.0184	0.0017	0.0244	0.1351	0.0627	0.0203	0.0741	0.0177
                             Granville, New South Wales	0.0394	0.0890	0.0349	0.0820	0.0792	0.0200	-0.0179	0.0406	0.1483	0.0688	0.0514	0.0459	0.0356	0.0068	0.0057	0.0891	0.0365	0.0220	0.0395	0.0154
                                  Geography of Cambodia	0.0435	0.1096	0.0618	0.1230	0.1100	0.0478	0.0041	0.0468	0.1572	0.1148	0.0835	0.0491	0.0353	0.0047	0.0084	0.1283	0.0703	0.0487	0.0535	0.0143
                                      Harry Connick Jr.	0.0401	0.0883	0.0366	0.0972	0.0913	0.0173	-0.0083	0.0401	0.1379	0.0693	0.0733	0.0380	0.0077	-0.0026	-0.0015	0.0949	0.0426	0.0645	0.0452	0.0198
                                             Embouchure	0.0309	0.0940	0.0218	0.0813	0.0709	-0.0039	-0.0212	0.0299	0.1337	0.0401	0.0412	0.0469	0.0086	-0.0065	0.0029	0.0849	0.0278	0.0023	0.0435	0.0048
                                               Albinism	0.0467	0.1131	0.0444	0.1474	0.1158	0.0354	-0.0045	0.0483	0.1717	0.0848	0.0824	0.0606	0.0130	-0.0037	0.0091	0.1394	0.0553	0.0298	0.0621	0.0171
                                                   FIDE	0.0584	0.1138	0.0576	0.1263	0.1360	0.0274	0.0004	0.0557	0.1597	0.0910	0.0750	0.0519	0.0135	0.0092	0.0146	0.1156	0.0543	0.0474	0.0557	0.0246
                                     Advanced Chemistry	0.0410	0.0865	0.0295	0.0981	0.0779	0.0077	-0.0192	0.0408	0.1366	0.0608	0.0442	0.0395	0.0115	-0.0040	0.0029	0.0961	0.0318	0.0192	0.0506	0.0072
                                    Aberration of light	0.0435	0.0995	0.0244	0.0961	0.0730	0.0078	-0.0205	0.0386	0.1705	0.0518	0.0446	0.0592	0.0148	-0.0027	0.0338	0.1135	0.0537	0.0057	0.0468	0.0038
                                                    DKW	0.0507	0.0906	0.0400	0.1067	0.0809	0.0267	-0.0143	0.0424	0.1682	0.0692	0.0718	0.0526	0.0208	0.0045	0.0144	0.1088	0.0465	0.0242	0.0451	0.0143
                                  Transport in Ethiopia	0.0424	0.1028	0.0352	0.1041	0.0783	0.0357	-0.0095	0.0385	0.1534	0.0795	0.0520	0.0431	0.0338	0.0053	0.0073	0.1087	0.0457	0.0213	0.0524	0.0101
                                   An American in Paris	0.0451	0.0964	0.0342	0.1053	0.0829	0.0098	-0.0145	0.0408	0.1379	0.0576	0.0636	0.0449	0.0113	-0.0056	0.0020	0.0992	0.0412	0.0320	0.0455	0.0057
                          Foreign relations of Dominica	0.0563	0.1371	0.0822	0.1417	0.1274	0.0619	0.0205	0.0850	0.1427	0.1475	0.1018	0.0655	0.0215	0.0079	0.0139	0.1317	0.0852	0.0691	0.0598	0.0265
                                  Progressive education	0.0483	0.1137	0.0366	0.1304	0.0964	0.0186	-0.0127	0.0503	0.1711	0.0745	0.0575	0.0557	0.0119	-0.0032	0.0109	0.1135	0.0403	0.0234	0.0668	0.0173
                                   Demographics of Chad	0.0356	0.0936	0.0195	0.0936	0.0668	0.0192	-0.0135	0.0294	0.1317	0.0931	0.0484	0.0387	0.0148	-0.0081	0.0028	0.0870	0.0296	0.0152	0.0401	0.0026
                 Classification of finite simple groups	0.0479	0.1114	0.0358	0.1084	0.0667	0.0078	-0.0136	0.0307	0.1807	0.0587	0.0609	0.0572	0.0102	-0.0039	0.0259	0.1244	0.0385	0.0004	0.0620	0.0038
                                        Frederick Soddy	0.0651	0.0957	0.0502	0.1212	0.0920	0.0311	0.0022	0.0542	0.1729	0.0834	0.0718	0.0529	0.0201	0.0060	0.0146	0.1534	0.0569	0.0424	0.0700	0.0315
                              Copenhagen interpretation	0.0540	0.1061	0.0300	0.1056	0.0812	0.0141	-0.0010	0.0406	0.1793	0.0605	0.0483	0.0579	0.0103	-0.0054	0.0276	0.1309	0.0527	0.0128	0.0647	0.0127
                                       Adenylyl cyclase	0.0270	0.0809	0.0199	0.0870	0.0525	0.0024	-0.0222	0.0211	0.1410	0.0386	0.0392	0.0468	0.0127	-0.0035	0.0112	0.1077	0.0368	-0.0021	0.0372	-0.0040
                                            Brandenburg	0.0450	0.0891	0.0313	0.0842	0.0723	0.0349	-0.0139	0.0434	0.1453	0.0866	0.0552	0.0491	0.0348	0.0002	0.0140	0.0916	0.0361	0.0184	0.0386	0.0131
                                              Ayahuasca	0.0462	0.0977	0.0463	0.1374	0.0972	0.0321	0.0076	0.0465	0.1645	0.0851	0.0783	0.0614	0.0156	-0.0036	0.0124	0.1319	0.0517	0.0362	0.0694	0.0207
                                            Chuck Jones	0.0567	0.0963	0.0509	0.1109	0.0911	0.0191	-0.0088	0.0530	0.1518	0.0796	0.0684	0.0477	0.0094	0.0077	0.0043	0.1133	0.0478	0.0503	0.0600	0.0288
                       International Mathematical Union	0.0409	0.1051	0.0426	0.1264	0.0972	0.0164	-0.0075	0.0588	0.1460	0.0876	0.0482	0.0540	0.0175	0.0045	0.0090	0.1166	0.0535	0.0248	0.0562	0.0177
                                             Brown bear	0.0518	0.1039	0.0415	0.1358	0.0945	0.0421	0.0170	0.0340	0.1699	0.0801	0.0959	0.0667	0.0131	-0.0043	0.0089	0.1413	0.0483	0.0283	0.0619	0.0187
                                   Dwight D. Eisenhower	0.0666	0.1007	0.0436	0.1212	0.0942	0.0336	-0.0081	0.0591	0.1678	0.0888	0.0694	0.0548	0.0131	-0.0011	0.0136	0.1187	0.0497	0.0424	0.0524	0.0257
                                 Australian Labor Party	0.0386	0.1116	0.0320	0.1067	0.1102	0.0309	-0.0123	0.0454	0.1572	0.0834	0.0678	0.0445	0.0198	-0.0049	0.0040	0.1112	0.0464	0.0241	0.0453	0.0102
                                                 Elbląg	0.0462	0.0831	0.0335	0.0874	0.0817	0.0202	-0.0120	0.0397	0.1463	0.0811	0.0590	0.0484	0.0231	0.0036	0.0096	0.0860	0.0338	0.0260	0.0321	0.0145
                                        Anthony Hopkins	0.0574	0.1020	0.0537	0.1164	0.1182	0.0313	-0.0006	0.0498	0.1541	0.0846	0.0796	0.0451	0.0135	0.0054	0.0052	0.1099	0.0498	0.0612	0.0552	0.0283
